feature,importance
texture_worst,0.021409962162185336
symmetry_se,0.014681807627982591
perimeter_worst,0.01369721008374577
concavity_worst,0.012467213025543928
fractal_dimension_mean,0.008631858055528352
smoothness_se,0.00841974168450806
radius_se,0.00840434910373199
concavity_mean,0.007500060296975875
radius_mean,0.007448100846110977
fractal_dimension_se,0.007216192165746482
